level,chars,pinyin,new_words
二级,数,shù,"['大数据', '数据', '总数', '次数', '人数', '倒数', '数字', '多数', '大多数', '分数', '少数', '无数', '岁数', '指数']"
高等,晃,huàng,"['晃荡', '一晃', '摇晃']"
高等,晃,huǎng,"['晃荡', '一晃', '摇晃']"
五级,曲,qǔ,"['曲线', '乐曲', '小曲', '歌曲', '戏曲']"
六级,曲,qū,"['曲线', '乐曲', '小曲', '歌曲', '戏曲']"
二级,更,gèng,"['更新', '更是']"
五级,更,gēng,"['更新', '更是']"
三级,朝,cháo,"['有朝一日', '朝着']"
高等,朝,zhāo,"['有朝一日', '朝着']"
六级,杆,gǎn,[]
高等,杆,gān,[]
四级,模,mó,"['大规模', '大模大样', '规模', '模特儿', '模型', '模式', '模样', '模范', '模拟', '一模一样']"
五级,模,mú,"['大规模', '大模大样', '规模', '模特儿', '模型', '模式', '模样', '模范', '模拟', '一模一样']"
六级,横,héng,['横向']
高等,横,hèng,['横向']
一级,没,méi,"['没有', '没用', '从没', '有没有', '没说的']"
六级,没,mò,"['没有', '从没', '有没有', '没说的']"
二级,漂,piào,['漂亮']
高等,漂,piāo,['漂亮']
六级,炸,zhà,"['炸弹', '炸药']"
高等,炸,zhá,"['炸弹', '炸药']"
二级,熟,shú,"['成熟', '熟人', '熟练']"
二级,熟,shóu,"['成熟', '熟人', '熟练']"
二级,片,piàn,"['大片', '相片', '名片', '片子', '片面', '动画片', '卡片', '片段', '图片']"
高等,片,piān,"['大片', '相片', '名片', '片子', '片面', '动画片', '卡片', '片段', '图片']"
四级,率,lǜ,"['表率', '几率', '率领', '率先']"
四级,率,shuài,"['表率', '几率', '率领', '率先']"
一级,的,de,[]
二级,的,dì,[]
四级,的,dí,[]
六级,盛,shèng,"['盛会', '盛行', '盛大', '盛开']"
高等,盛,chéng,"['盛会', '盛行', '盛大', '盛开']"
二级,相,xiàng,"['相处', '相应', '长相', '不相上下', '相约', '相当', '真相', '相对', '相比', '相反', '相等', '相比之下', '相当于', '相连', '相同']"
二级,相,xiāng,"['相处', '相应', '长相', '不相上下', '相约', '相当', '真相', '相对', '相比', '相反', '相等', '相比之下', '相当于', '相连', '相同']"
二级,省,shěng,"['省事', '省钱']"
高等,省,xǐng,"['省事', '省钱']"
一级,看,kàn,"['看来', '看好', '好看', '看到', '看中']"
六级,看,kān,"['看来', '看好', '好看', '看到', '看中']"
一级,着,zhe,['有着']
四级,着,zháo,['有着']
高等,着,zhuó,['有着']
四级,禁,jìn,"['情不自禁', '禁区', '禁不住', '不禁', '严禁']"
六级,禁,jīn,"['情不自禁', '禁区', '禁不住', '不禁', '严禁']"
三级,种,zhǒng,"['多种', '种种']"
四级,种,zhòng,"['多种', '种种']"
二级,称,chēng,"['名称', '对称', '自称', '称号', '称为', '号称']"
二级,称,chèn,"['名称', '对称', '自称', '称号', '称为', '号称']"
二级,空,kòng,"['空军', '上空', '空儿', '时空', '空想', '空地', '有空儿', '空调', '空中', '天空', '真空', '太空', '空前', '空难', '空气', '空白', '空间', '高空']"
二级,空,kōng,"['空军', '上空', '空儿', '时空', '空想', '空地', '有空儿', '空调', '空中', '天空', '真空', '太空', '空前', '空难', '空气', '空白', '空间', '高空']"
高等,笼,lóng,"['笼子', '笼罩', '笼统', '灯笼']"
高等,笼,lǒng,"['笼子', '笼罩', '笼统', '灯笼']"
一级,答,dá,"['答案', '答应', '答复', '解答', '回答', '报答']"
二级,答,dā,"['答案', '答应', '答复', '解答', '回答', '报答']"
一级,系,xì,[]
四级,系,jì,[]
一级,累,lèi,"['拖累', '累计']"
四级,累,lěi,"['拖累', '累计']"
二级,结,jié,"['结论', '情结', '集结', '总结', '成群结队', '结局', '了结', '团结', '归结', '结实', '结合']"
三级,结,jiē,"['结论', '情结', '集结', '总结', '成群结队', '结局', '了结', '团结', '归结', '结实', '结合']"
一级,给,gěi,[]
六级,给,jǐ,[]
高等,缝,féng,['缝合']
高等,缝,fèng,['缝合']
二级,背,bèi,"['背着', '背面', '背心', '背后', '背包']"
三级,背,bēi,"['背着', '背面', '背心', '背后', '背包']"
二级,脏,zāng,"['心脏', '心脏病']"
六级,脏,zàng,"['心脏', '心脏病']"
五级,舍,shè,"['舍不得', '恋恋不舍', '舍得', '依依不舍']"
五级,舍,shě,"['舍不得', '恋恋不舍', '舍得', '依依不舍']"
三级,落,luò,"['落实', '落地', '落户', '落下', '没落', '脱落', '回落', '降落', '落差', '坐落', '段落', '下落', '着落', '冷落', '落后']"
五级,落,là,"['落实', '落地', '落户', '落下', '没落', '脱落', '回落', '降落', '落差', '坐落', '段落', '下落', '着落', '冷落', '落后']"
六级,蒙,méng,[]
六级,蒙,mēng,[]
四级,薄,báo,"['薄弱', '单薄']"
高等,薄,bó,"['薄弱', '单薄']"
六级,藏,cáng,['收藏']
高等,藏,zàng,['收藏']
三级,血,xiě,"['血管', '心血', '出血']"
六级,血,xuè,"['血管', '心血', '出血']"
一级,行,xíng,"['进行', '人行道', '外行', '内行', '行走', '行使', '发行', '并行', '不行', '自行', '出行', '行为', '可行', '一行', '行家', '行人']"
二级,行,háng,"['进行', '人行道', '外行', '内行', '行走', '行使', '发行', '并行', '不行', '自行', '出行', '行为', '可行', '一行', '行家', '行人']"
一级,要,yào,"['要不', '要是', '不要', '要不是', '就要']"
二级,要,yāo,"['要不', '要是', '不要', '要不是', '就要']"
